iter,propose_t0,propose_t1,train_t0,train_t1,prompt_tokens,completion_tokens,proposer_latency_s,guard_ok,guard_violations,val_acc,decision,exit_code,discarded_by_rollback,E_prop_J,E_train_J,E_iter_J,proposer,patience,loop_budget,run
9,1786595092.0624804,1786595173.5304408,1786595173.538817,1786595221.4139023,3211,2783,81.46787405014038,True,[],0.8332,reverted,0.0,True,7795.631,4638.649,12434.28,dense,1,10,run_1_repetition_2
10,1786595221.421386,1786595334.8309135,1786595334.8384242,1786595382.6681156,2983,3881,113.40939474105836,True,[],0.822,reverted,0.0,True,10509.166,4435.735,14944.900999999998,dense,1,10,run_1_repetition_2
1,1786585589.1058278,1786585619.097973,1786585619.1050415,1786585667.0344543,2591,2023,29.99202609062195,True,[],0.7926,keep,0.0,False,1673.03,4628.553,6301.583,moe,1,10,run_2_repetition_0
2,1786585667.0369492,1786585697.1788428,1786585697.186142,1786585745.1192944,2689,2033,30.14180541038513,True,[],0.8302,keep,0.0,False,1868.251,4545.965,6414.216,moe,1,10,run_2_repetition_0
3,1786585745.1219687,1786585775.7167106,1786585775.7238414,1786585778.3947642,2743,2072,30.59465003013611,True,[],,errored,1.0,False,1930.155,27.218,1957.373,moe,1,10,run_2_repetition_0
4,1786585778.4028342,1786585809.331366,,,2959,2092,30.92842721939087,False,"[""result.json key 'peak_vram_mb' is missing""]",,rejected,,False,1783.208,0.0,1783.208,moe,1,10,run_2_repetition_0
5,1786585809.3350875,1786585839.828558,1786585839.8354604,1786585888.0167477,2818,2069,30.4933865070343,True,[],0.8386,reverted,0.0,True,1986.507,4204.095,6190.602000000001,moe,1,10,run_2_repetition_0
6,1786585888.024867,1786585918.8624053,1786585918.876982,1786585921.5477965,2821,2087,30.837453603744507,True,[],,errored,1.0,False,1897.745,25.128,1922.873,moe,1,10,run_2_repetition_0
7,1786585921.554476,1786585952.7394068,1786585952.7538283,1786586000.6392753,3037,2090,31.18484377861023,True,[],0.367,reverted,0.0,True,1892.046,4556.676,6448.722000000001,moe,1,10,run_2_repetition_0
8,1786586000.6465604,1786586031.6046703,1786586031.6115394,1786586034.2817934,2874,2087,30.957969188690186,True,[],,errored,1.0,False,2041.977,32.152,2074.129,moe,1,10,run_2_repetition_0
9,1786586034.2880988,1786586065.6175916,1786586065.6320784,1786586113.5640447,3090,2094,31.329402923583984,True,[],0.8584,keep,0.0,False,1813.424,4604.483,6417.907,moe,1,10,run_2_repetition_0
10,1786586113.56651,1786586144.4818754,1786586144.4970188,1786586192.4861343,2986,2084,30.91527557373047,True,[],0.7802,reverted,0.0,True,1837.675,4656.783,6494.4580000000005,moe,1,10,run_2_repetition_0
1,1786595585.7024317,1786595616.9372663,,,2591,2118,31.23470711708069,False,"['TRAIN_SECONDS was changed to 45.0; it must remain 240.0', ""result.json key 'peak_vram_mb' is missing""]",,rejected,,False,1809.981,0.0,1809.981,moe,1,10,run_2_repetition_1
2,1786595616.941283,1786595646.1065247,,,2679,1977,29.165149211883545,False,"['file does not parse: invalid syntax (<unknown>, line 159)']",,rejected,,False,1825.757,0.0,1825.757,moe,1,10,run_2_repetition_1
3,1786595646.1085992,1786595675.5974548,1786595675.6048515,1786595723.3796492,2687,2012,29.488770961761475,True,[],0.8476,keep,0.0,False,1794.126,4614.83,6408.956,moe,1,10,run_2_repetition_1
4,1786595723.382627,1786595754.9058845,1786595754.920096,1786595757.4409976,2751,2145,31.52316641807556,True,[],,errored,1.0,False,1966.808,33.084,1999.892,moe,1,10,run_2_repetition_1
5,1786595757.4554784,1786595787.4679265,1786595787.4739678,1786595835.249111,2954,2037,30.01235842704773,True,[],0.3306,reverted,0.0,True,1798.106,4435.142,6233.248,moe,1,10,run_2_repetition_1
6,1786595835.2563372,1786595869.0547338,1786595869.0618498,1786595871.7829845,2807,2299,33.798293352127075,True,[],,errored,1.0,False,1929.275,36.428,1965.703,moe,1,10,run_2_repetition_1
7,1786595871.7907326,1786595902.4663002,1786595902.4729168,1786595904.9936745,3091,2065,30.675477981567383,True,[],,errored,1.0,False,1986.241,33.886,2020.127,moe,1,10,run_2_repetition_1
8,1786595905.0008798,1786595935.2280614,1786595935.242035,1786595983.0160725,3049,2042,30.227094411849976,True,[],0.3322,reverted,0.0,True,1796.422,4748.385,6544.807000000001,moe,1,10,run_2_repetition_1
9,1786595983.023177,1786596013.9546487,1786596013.9615598,1786596061.7390664,2883,2092,30.93133854866028,True,[],0.766,reverted,0.0,True,2042.815,4590.54,6633.355,moe,1,10,run_2_repetition_1
10,1786596061.7461782,1786596093.0765698,,,2913,2119,31.33030104637146,False,"[""result.json key 'peak_vram_mb' is missing""]",,rejected,,False,2006.616,0.0,2006.616,moe,1,10,run_2_repetition_1
1,1786590260.7585368,1786590292.2589347,1786590292.2739906,1786590294.944647,2591,2131,31.500297784805294,True,[],,errored,1.0,False,1803.024,43.169,1846.193,moe,1,10,run_2_repetition_2
2,1786590294.9524837,1786590324.4853718,1786590324.499982,1786590327.1705563,2898,1991,29.532794713974,True,[],,errored,1.0,False,1840.257,40.512,1880.769,moe,1,10,run_2_repetition_2
3,1786590327.1857748,1786590358.910721,1786590358.9255502,1786590406.6978004,3054,2146,31.72484540939331,True,[],0.8586,keep,0.0,False,1992.344,4568.983,6561.327,moe,1,10,run_2_repetition_2
4,1786590406.700722,1786590439.0170932,1786590439.0239255,1786590443.2468984,2863,2164,32.316288471221924,True,[],,errored,1.0,False,2102.405,200.776,2303.181,moe,1,10,run_2_repetition_2
5,1786590443.2537448,1786590475.1226118,1786590475.1295686,1786590522.9035077,3231,2155,31.868776321411133,True,[],0.867,reverted,0.0,True,1882.587,4665.121,6547.7080000000005,moe,1,10,run_2_repetition_2
6,1786590522.9099555,1786590559.067843,1786590559.0835,1786590561.8539412,2917,2432,36.15779948234558,True,[],,errored,1.0,False,2195.466,52.892,2248.358,moe,1,10,run_2_repetition_2
7,1786590561.860329,1786590593.9849458,1786590593.9927466,1786590641.767357,3271,2153,32.12452530860901,True,[],0.872,keep,0.0,False,1910.433,4540.56,6450.993,moe,1,10,run_2_repetition_2
8,1786590641.7705312,1786590673.979938,,,2974,2152,32.20931625366211,False,"[""result.json key 'peak_vram_mb' is missing""]",,rejected,,False,1936.897,0.0,1936.897,moe,1,10,run_2_repetition_2
9,1786590673.983879,1786590705.6251802,1786590705.6398149,1786590753.4144015,3027,2130,31.641213417053223,True,[],0.8648,reverted,0.0,True,2045.436,4351.872,6397.308,moe,1,10,run_2_repetition_2
10,1786590753.421363,1786590785.364601,1786590785.3788586,1786590833.154847,3032,2136,31.943150997161865,True,[],0.8388,reverted,0.0,True,1874.79,4598.911,6473.701,moe,1,10,run_2_repetition_2
1,1786591014.0142095,1786591112.3441226,1786591112.3514032,1786591115.2222931,2587,6651,98.32980608940125,True,[],,errored,1.0,False,6170.466,35.945,6206.411,moe,1,10,run_3_repetition_0
2,1786591115.2293396,1786591246.8352566,1786591246.8422923,1786591294.5309546,3007,8880,131.6058223247528,True,[],,errored,1.0,False,8423.3,4288.446,12711.746,moe,1,10,run_3_repetition_0
3,1786591294.5380228,1786591415.8854768,,,2988,8187,121.34735369682312,False,"[""file does not parse: '(' was never closed (<unknown>, line 89)""]",,rejected,,False,7707.088,0.0,7707.088,moe,1,10,run_3_repetition_0
4,1786591415.8872364,1786591513.6119385,1786591513.6189609,1786591561.3918145,2702,6622,97.72461676597597,True,[],0.8564,keep,0.0,False,6293.654,4437.998,10731.652,moe,1,10,run_3_repetition_0
5,1786591561.3951335,1786591701.483018,1786591701.4900444,1786591704.2111518,2822,9480,140.08778715133667,True,[],,errored,1.0,False,9025.282,38.421,9063.703,moe,1,10,run_3_repetition_0
6,1786591704.2192683,1786591788.1614184,1786591788.168909,1786591835.9448805,3165,5643,83.94206213951111,True,[],0.7992,reverted,0.0,True,5292.568,4492.976,9785.544,moe,1,10,run_3_repetition_0
7,1786591835.9516227,1786591927.5925038,1786591927.5994084,1786591930.1196425,2876,6192,91.64079213142396,True,[],,errored,1.0,False,5696.576,37.183,5733.759,moe,1,10,run_3_repetition_0
8,1786591930.1261775,1786591969.8211014,1786591969.827777,1786592017.6019394,3103,2661,39.69483184814453,True,[],0.8546,reverted,0.0,True,2550.733,4333.904,6884.637000000001,moe,1,10,run_3_repetition_0
9,1786592017.6095726,1786592110.3146737,1786592110.32154,1786592158.0981529,2927,6218,92.7050085067749,True,[],0.619,reverted,0.0,True,5742.909,4532.946,10275.855,moe,1,10,run_3_repetition_0
10,1786592158.104112,1786592268.3547711,1786592268.3618872,1786592316.135635,2957,7427,110.25057101249696,True,[],0.8406,reverted,0.0,True,7035.676,4451.422,11487.098,moe,1,10,run_3_repetition_0
1,1786584405.8285296,1786584525.099088,1786584525.105927,1786584527.977388,2587,8138,119.2704553604126,True,[],,errored,1.0,False,7512.203,32.761,7544.964000000001,moe,1,10,run_3_repetition_1
2,1786584527.9843524,1786584570.8266993,1786584570.833714,1786584573.5048726,2944,2919,42.84217691421509,True,[],,errored,1.0,False,2690.476,33.946,2724.422,moe,1,10,run_3_repetition_1
3,1786584573.5204854,1786584674.2475471,1786584674.2623365,1786584676.7826169,3049,6844,100.72697257995604,True,[],,errored,1.0,False,6561.078,34.11,6595.188,moe,1,10,run_3_repetition_1
4,1786584676.7895525,1786584711.2688117,1786584711.2753177,1786584758.9978893,2874,2293,34.47916507720947,True,[],0.7542,reverted,0.0,True,2105.695,4478.333,6584.028,moe,1,10,run_3_repetition_1
5,1786584759.0051622,1786584874.450928,1786584874.4651902,1786584877.13551,2699,7823,115.44568037986755,True,[],,errored,1.0,False,7367.576,36.331,7403.907,moe,1,10,run_3_repetition_1
6,1786584877.142279,1786584937.951628,1786584937.9662132,1786584985.8912852,2970,4129,60.80926275253296,True,[],0.8118,keep,0.0,False,3846.357,4433.614,8279.971,moe,1,10,run_3_repetition_1
7,1786584985.8939476,1786585083.9460208,1786585083.9607494,1786585086.7818909,2807,6672,98.05193877220154,True,[],,errored,1.0,False,6222.679,26.484,6249.1630000000005,moe,1,10,run_3_repetition_1
8,1786585086.7888372,1786585126.5009923,1786585126.5078783,1786585174.3818903,3096,2673,39.71207666397095,True,[],0.8058,reverted,0.0,True,2545.932,4452.47,6998.402,moe,1,10,run_3_repetition_1
9,1786585174.3892686,1786585276.9272535,1786585276.934796,1786585324.8582027,2859,6934,102.5379011631012,True,[],0.8032,reverted,0.0,True,6416.398,4403.611,10820.009,moe,1,10,run_3_repetition_1
10,1786585324.8643086,1786585404.7323084,,,2891,5429,79.86791467666626,False,['TRAIN_SECONDS was changed to 45.0; it must remain 240.0'],,rejected,,False,4975.979,0.0,4975.979,moe,1,10,run_3_repetition_1
1,1786596268.888364,1786596372.303993,1786596372.3115072,1786596420.2364657,2587,7027,103.4155216217041,True,[],0.8726,keep,0.0,False,6423.33,4502.835,10926.165,moe,1,10,run_3_repetition_2
2,1786596420.2394888,1786596521.696889,1786596521.7049017,1786596569.790834,2833,6887,101.45724248886108,True,[],0.7976,reverted,0.0,True,6457.892,4483.875,10941.767,moe,1,10,run_3_repetition_2
3,1786596569.7977228,1786596664.3862324,1786596664.3935783,1786596712.5695312,2866,6438,94.58842015266418,True,[],0.8366,reverted,0.0,True,5888.31,3906.241,9794.551,moe,1,10,run_3_repetition_2
4,1786596712.576054,1786596813.4268165,1786596813.4409063,1786596861.514202,2897,6873,100.85067296028136,True,[],0.3028,reverted,0.0,True,6397.416,3723.578,10120.994,moe,1,10,run_3_repetition_2
5,1786596861.5213854,1786596963.9611464,1786596963.9688118,1786596966.837365,2928,6935,102.43967413902284,True,[],,errored,1.0,False,6490.441,38.121,6528.562,moe,1,10,run_3_repetition_2
6,1786596966.8528512,1786597065.8718967,1786597065.8798654,1786597068.7011778,3269,6720,99.0189573764801,True,[],,errored,1.0,False,6391.649,30.143,6421.792,moe,1,10,run_3_repetition_2
7,1786597068.7078772,1786597110.7447083,1786597110.751824,1786597158.675334,3230,2834,42.03668808937073,True,[],0.8728,reverted,0.0,True,2678.975,4391.246,7070.221,moe,1,10,run_3_repetition_2
8,1786597158.6816096,1786597229.012385,1786597229.0273974,1786597231.898294,3005,4789,70.33064484596252,True,[],,errored,1.0,False,4374.15,31.359,4405.509,moe,1,10,run_3_repetition_2
9,1786597231.913959,1786597280.304444,,,3284,3277,48.39040327072144,False,"[""result.json key 'peak_vram_mb' is missing""]",,rejected,,False,3037.9,0.0,3037.9,moe,1,10,run_3_repetition_2
10,1786597280.3083675,1786597369.62528,1786597369.6321805,1786597372.4517388,3081,6039,89.31682682037354,True,[],,errored,1.0,False,5719.344,30.752,5750.0960000000005,moe,1,10,run_3_repetition_2
