iter,propose_t0,propose_t1,train_t0,train_t1,prompt_tokens,completion_tokens,proposer_latency_s,guard_ok,guard_violations,val_acc,decision,exit_code,discarded_by_rollback,E_prop_J,E_train_J,E_iter_J,proposer,patience,loop_budget,run
12,1786559707.3343663,1786559767.2627532,1786559767.269017,1786559815.1944954,2979,2055,59.928303241729736,True,[],0.6064,reverted,0.0,True,6016.566,4762.61,10779.176,dense,1,20,run_1_repetition_2
13,1786559815.201441,1786559875.1728692,1786559875.1797266,1786559923.0535443,3018,2056,59.97134041786194,True,[],0.6316,reverted,0.0,True,5878.085,4761.583,10639.668,dense,1,20,run_1_repetition_2
14,1786559923.0601122,1786559983.1324956,1786559983.1395714,1786560031.0639768,3057,2058,60.072298765182495,True,[],0.644,reverted,0.0,True,5861.306,4852.348,10713.654,dense,1,20,run_1_repetition_2
15,1786560031.069927,1786560091.1808643,1786560091.1952834,1786560139.0699744,3091,2059,60.11085295677185,True,[],0.6242,reverted,0.0,True,6033.271,4788.525,10821.795999999998,dense,1,20,run_1_repetition_2
16,1786560139.076335,1786560199.1324482,1786560199.1398468,1786560247.0149856,3130,2056,60.056029081344604,True,[],0.5904,reverted,0.0,True,5883.618,4745.308,10628.926,dense,1,20,run_1_repetition_2
17,1786560247.0223043,1786560308.169301,1786560308.1765542,1786560356.099091,3169,2093,61.14691019058228,True,[],0.6602,reverted,0.0,True,5971.988,4881.164,10853.152,dense,1,20,run_1_repetition_2
18,1786560356.106257,1786560417.985188,1786560417.9997962,1786560465.8736134,3203,2118,61.87884712219238,True,[],0.622,reverted,0.0,True,6161.371,4805.599,10966.97,dense,1,20,run_1_repetition_2
19,1786560465.8793857,1786560525.738725,1786560525.753862,1786560573.6276388,3237,2048,59.85925102233887,True,[],0.614,reverted,0.0,True,5870.471,4673.012,10543.483,dense,1,20,run_1_repetition_2
20,1786560573.634308,1786560634.1799707,1786560634.1874073,1786560682.1153038,3271,2071,60.54557490348816,True,[],0.6312,reverted,0.0,True,5908.594,4838.205,10746.799,dense,1,20,run_1_repetition_2
1,1786513648.219137,1786513707.7280753,1786513707.7347133,1786513755.712415,2613,2034,59.50883340835571,True,[],0.6716,reverted,0.0,True,5297.7,4634.165,9931.865,dense,3,10,run_2_repetition_0
2,1786513755.7138302,1786513818.301997,1786513818.3093026,1786513866.390875,2730,2150,62.58802938461304,True,[],0.1784,reverted,0.0,True,5698.565,4574.956,10273.521,dense,3,10,run_2_repetition_0
